"","Year","Predator","WEP_age","M_t","M_N"
"155",2015,"PH","0",103.99,9368025.76576577
"156",2015,"PH","2",11826.73,45663067.6370656
"157",2017,"PH","3+",382563.86,600571216.459969
"158",2017,"PH","1",1248.6,17965529.9280576
"159",2017,"PH","0",2.56,230612.432432432
"160",2017,"PH","2",10222.15,39467750.8494209
"161",2019,"PH","3+",399421.34,627035077.131868
"162",2019,"PH","1",509.15,7325830.8057554
"163",2019,"PH","0",0.07,6513.78378378378
"164",2019,"PH","2",10550.27,40734617.957529
"165",1990,"PH","3+",724533.78,1137415666.74568
"166",1990,"PH","1",36050.91,518718181.064748
"167",1990,"PH","0",41.22,3713500.81081081
"168",1990,"PH","2",10226.91,39486141.9343629
"169",1990,"SBL","3+",401301.02,629985902.927786
"170",1990,"SBL","2",34904.62,134766889.88417
"171",1990,"SBL","0",469.38,42286549.7297297
"172",1990,"SBL","1",2864.95,41222251.942446
"173",1993,"SBL","3+",438280.37,688038257.036107
"174",1993,"SBL","2",248657.36,960067043.250965
"175",1993,"SBL","0",4232.26,381284257.837838
"176",1993,"SBL","1",55869.04,803871076
"177",1996,"SBL","3+",34632.36,54367917.5839874
"178",1996,"SBL","2",21224.25,81946907.6988417
"179",1996,"SBL","0",10481.3,944261191.891892
"180",1996,"SBL","1",36394.03,523655119.410072
"181",1999,"SBL","3+",1.74,2723.83045525903
"182",1999,"SBL","2",3789.21,14630149.3127413
"183",1999,"SBL","0",11.42,1028728.28828829
"184",1999,"SBL","1",15165.69,218211379.697842
"185",2001,"SBL","3+",144.8,227315.543171115
"186",2001,"SBL","2",32890.27,126989451.756757
"187",2001,"SBL","0",77.84,7012846.57657658
"188",2001,"SBL","1",27952.42,402193052.992806
"189",2003,"SBL","3+",331409.01,520265323.44427
"190",2003,"SBL","2",76742.85,296304421.3861
"191",2003,"SBL","0",584.47,52654972.4324324
"192",2003,"SBL","1",11607.86,167019573.381295
"193",2005,"SBL","3+",6643.67,10429617.3799058
"194",2005,"SBL","2",4071.53,15720206.5250965
"195",2005,"SBL","0",2010.67,181141441.081081
"196",2005,"SBL","1",6981.61,100454878.115108
"197",2007,"SBL","3+",62935.01,98799072.6687598
"198",2007,"SBL","2",45627.77,176168996.88417
"199",2007,"SBL","0",3754.06,338203286.666667
"200",2007,"SBL","1",43017.01,618949713.582734
"201",2009,"SBL","3+",56.05,87983.0722135008
"202",2009,"SBL","2",958.89,3702281.97297297
"203",2009,"SBL","0",37243.07,3355231087.56757
"204",2009,"SBL","1",10281.56,147936123.669065
"205",2011,"SBL","3+",0.53,827.05180533752
"206",2011,"SBL","2",171.65,662759.386100386
"207",2011,"SBL","0",417.16,37582072.3423423
"208",2011,"SBL","1",27663.73,398039316.215827
"209",2013,"SBL","3+",109100.23,171271952.582418
"210",2013,"SBL","2",66861.46,258152372.07722
"211",2013,"SBL","0",33018.6,2974648750
"212",2013,"SBL","1",114649.91,1649638955.59712
"213",2015,"SBL","3+",93581.12,146909132.607535
"214",2015,"SBL","2",57350.66,221431124.540541
"215",2015,"SBL","0",28321.82,2551515651.53153
"216",2015,"SBL","1",98341.37,1414983740.35971
"217",2017,"SBL","3+",145024.31,227667681.66248
"218",2017,"SBL","2",88877.33,343155730.872587
"219",2017,"SBL","0",43890.83,3954128942.07207
"220",2017,"SBL","1",152401.36,2192825333.85612
"221",2019,"SBL","3+",250602.06,393409824.193093
"222",2019,"SBL","2",153580.06,592973208.88417
"223",2019,"SBL","0",75843.37,6832736032.52252
"224",2019,"SBL","1",263349.6,3789202853.82734
"225",1990,"WEP","0",13443.61,1211135773.87387
"226",1990,"WEP","1",13899.82,199997346.086331
"227",1990,"WEP","2",7.78,30032.528957529
"228",1990,"WEP","3+",0,0
"229",1993,"WEP","0",10624.73,957182663.153153
"230",1993,"WEP","1",13232.52,190396036.201439
"231",1993,"WEP","2",62.93,242988.355212355
"232",1993,"WEP","3+",0,0
"233",1996,"WEP","0",157291.59,14170413945.5856
"234",1996,"WEP","1",48117.93,692344315.395683
"235",1996,"WEP","2",4127.37,15935779.4324324
"236",1996,"WEP","3+",0,0
"237",1999,"WEP","0",3702.04,333516893.153153
"238",1999,"WEP","1",3215.71,46269241.8561151
"239",1999,"WEP","2",1463.27,5649699.29343629
"240",1999,"WEP","3+",0,0
"241",2001,"WEP","0",10718.69,965648026.036036
"242",2001,"WEP","1",26811.36,385774973.582734
"243",2001,"WEP","2",24498.66,94589414.4362934
"244",2001,"WEP","3+",0,0
"245",2003,"WEP","0",1244.53,112119404.864865
"246",2003,"WEP","1",4842.33,69673843.7841727
"247",2003,"WEP","2",8507.35,32846907.2355212
"248",2003,"WEP","3+",0,0
"249",2005,"WEP","0",0,0
"250",2005,"WEP","1",0,0
"251",2005,"WEP","2",0,0
"252",2005,"WEP","3+",0,0
"253",2007,"WEP","0",241.9,21792444.8648649
"254",2007,"WEP","1",575.88,8286052
"255",2007,"WEP","2",1214.63,4689698.49034749
"256",2007,"WEP","3+",0,0
"257",2009,"WEP","0",5503.73,495831856.576577
"258",2009,"WEP","1",11930.89,171667547.366906
"259",2009,"WEP","2",7581.68,29272879.5791506
"260",2009,"WEP","3+",0,0
"261",2011,"WEP","0",0,0
"262",2011,"WEP","1",0,0
"263",2011,"WEP","2",0,0
"264",2011,"WEP","3+",0,0
"265",2013,"WEP","0",47494.12,4278749532.97297
